name,age,city,purchase_amount,product_category,ai_label
Aarav,24.0,Hyderabad,1200.0,Electronics,Medium
Priya,29.0,Mumbai,3400.0,Clothing,Medium
Rahul,31.41176470588235,Bangalore,2800.0,Books,Medium
Ananya,22.0,Delhi,0.0,Food,Low
Vikram,41.0,Chennai,5600.0,Electronics,Medium
Sneha,27.0,Pune,2100.0,Clothing,Medium
Karan,31.0,Hyderabad,4500.0,Sports,Medium
Meera,31.41176470588235,Kolkata,1800.0,Books,Medium
Arjun,38.0,Mumbai,0.0,Electronics,Low
Divya,23.0,Delhi,1100.0,Food,Medium
Rohan,45.0,Bangalore,7100.0,Electronics,High
Kavya,30.0,Hyderabad,3900.0,Clothing,Medium
Nikhil,28.0,Chennai,2400.0,Sports,Medium
Isha,33.0,Pune,5200.0,Books,Medium
Varun,31.41176470588235,Hyderabad,1600.0,Food,Medium
Pooja,37.0,Mumbai,4800.0,Clothing,Medium
Aditya,42.0,Bangalore,0.0,Electronics,Low
Neha,21.0,Delhi,700.0,Books,Medium
Sanjay,34.0,Hyderabad,3500.0,Sports,Medium
Aditi,29.0,Chennai,2700.0,Food,Medium
