name,age,city,purchase_amount,product_category
Aarav,24,Hyderabad,1200,Electronics
Priya,29,Mumbai,3400,Clothing
Rahul,,Bangalore,2800,Books
Ananya,22,Delhi,,Food
Vikram,41,Chennai,5600,Electronics
Sneha,27,Pune,2100,Clothing
Karan,31,Hyderabad,4500,Sports
Meera,,Kolkata,1800,Books
Arjun,38,Mumbai,,Electronics
Divya,23,Delhi,1100,Food
Rohan,45,Bangalore,7100,Electronics
Kavya,30,Hyderabad,3900,Clothing
Nikhil,28,Chennai,2400,Sports
Isha,33,Pune,5200,Books
Varun,,Hyderabad,1600,Food
Pooja,37,Mumbai,4800,Clothing
Aditya,42,Bangalore,,Electronics
Neha,21,Delhi,700,Books
Sanjay,34,Hyderabad,3500,Sports
Aditi,29,Chennai,2700,Food
