customer_id,name,age,city,purchase
1001,Aarav,24,Hyderabad,1200
1002,Priya,29,Mumbai,3400
1003,Rahul,,Hyderabad,2800
1004,Ananya,22,Delhi,
1005,Vikram,41,Bangalore,5600
1006,Sneha,27,,2100
1007,Karan,31,Hyderabad,4500
1008,Meera,,Pune,1800
1009,Arjun,38,Mumbai,
1010,Divya,23,Delhi,1100
1011,Rohan,45,Bangalore,7100
1012,,30,Hyderabad,3900
1013,Nikhil,28,Chennai,2400
1014,Isha,33,,5200
1015,Varun,,Hyderabad,1600
1016,Pooja,37,Mumbai,4800
1017,Aditya,42,Bangalore,
1018,Neha,21,Delhi,700
1019,Sanjay,34,Hyderabad,3500
1020,Aditi,29,,2700
